room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8081828,40602971,Private room,,Jungnim-dong,0,,1,1.0,32.0,2.0,37.559676,126.967887,2016-05-29 11:18:26.911721
789922,3018326,Shared room,,Yeonhui-dong,67,4.5,6,1.0,12.0,1.0,37.564624,126.927687,2016-05-29 11:18:18.505212
3671211,18622394,Private room,,Yongsan-dong 1(il)-ga,5,4.0,2,1.0,35.0,1.0,37.545322,126.974294,2016-05-29 11:18:05.911830
2990081,15239984,Private room,,Banpo-dong,13,5.0,2,1.0,41.0,1.0,37.503814,126.999983,2016-05-29 11:18:04.302888
10581141,23233575,Entire home/apt,,Bulgwang-dong,8,5.0,8,3.0,82.0,1.0,37.620465,126.934148,2016-05-29 11:17:57.069987
6978496,33031953,Shared room,,Hwigyeong-dong,5,5.0,2,1.0,24.0,2.0,37.592229,127.058575,2016-05-29 11:17:38.017766
6836177,11245663,Entire home/apt,,Daejo-dong,9,5.0,2,1.0,41.0,2.0,37.615413,126.91889,2016-05-29 11:17:26.948604
7585941,24191561,Entire home/apt,,Chungmuro 2(i)-ga,55,4.5,6,0.0,52.0,1.0,37.561856,126.987758,2016-05-29 11:17:24.895017
12872631,23503972,Private room,,Bangbae-dong,0,,1,1.0,13.0,1.0,37.481728,126.9843,2016-05-29 11:17:17.132394
11931617,19082525,Private room,,Bangbae-dong,0,,1,1.0,18.0,3.0,37.497195,126.985941,2016-05-29 11:17:10.975653
8713317,45735597,Entire home/apt,,Jamsil-dong,13,4.5,2,1.0,39.0,1.0,37.507931,127.084733,2016-05-29 11:17:07.339683
3101438,12777123,Private room,,Bangi-dong,0,,2,1.0,75.0,1.0,37.511351,127.123284,2016-05-29 11:17:02.790531
10283769,23888613,Private room,,Donggyo-dong,5,4.5,2,1.0,25.0,2.0,37.560572,126.924746,2016-05-29 11:16:55.746601
10244343,49520508,Shared room,,Sinsa-dong,4,4.0,4,1.0,19.0,,37.520415,127.025761,2016-05-29 11:16:31.976681
8974931,21755096,Entire home/apt,,Bongnae-dong 2(i)-ga,15,4.5,3,1.0,64.0,2.0,37.555116,126.970782,2016-05-29 11:16:23.642056
8259445,43556738,Private room,,Hannam-dong,5,4.5,2,1.0,31.0,1.0,37.532115,127.000091,2016-05-29 11:16:05.908097
11504049,33472244,Shared room,,Nogosan-dong,0,,1,1.0,43.0,1.0,37.553595,126.939089,2016-05-29 11:15:54.994384
1095357,6018238,Entire home/apt,,Changcheon-dong,0,,3,3.0,30.0,1.0,37.559328,126.933259,2016-05-29 11:15:33.883506
8822616,40255821,Entire home/apt,,Sinsa-dong,10,5.0,6,3.0,52.0,1.0,37.595675,126.913576,2016-05-29 11:15:02.732681
12917235,5627970,Shared room,,Nonhyeon-dong,0,,2,1.0,39.0,1.0,37.510269,127.024161,2016-05-29 11:14:47.852659
11364132,53663557,Private room,,Seogyo-dong,1,,3,1.0,130.0,1.0,37.555536,126.918664,2016-05-29 11:14:44.173559
7171584,3465480,Entire home/apt,,Sillim-dong,1,,2,1.0,15.0,5.0,37.465497,126.937096,2016-05-29 11:14:32.608836
13133820,10666121,Entire home/apt,,Dangsan-dong 5(o)-ga,0,,3,1.0,67.0,1.0,37.534322,126.90046,2016-05-29 11:14:21.343926
5843557,25869728,Entire home/apt,,Yeoksam-dong,49,5.0,3,0.0,77.0,2.0,37.496692,127.030166,2016-05-29 11:14:15.051811
7279681,22837996,Private room,,Sindang-dong,29,4.5,2,1.0,29.0,1.0,37.560099,127.009754,2016-05-29 11:14:06.519841
534569,2623918,Entire home/apt,,Samcheong-dong,15,5.0,7,3.0,110.0,2.0,37.588744,126.980295,2016-05-29 11:13:13.035099
5701629,29560333,Entire home/apt,,Sillim-dong,1,,1,1.0,30.0,1.0,37.465628,126.939843,2016-05-29 11:13:09.400694
4496839,18927137,Private room,,Yeonnam-dong,5,5.0,3,1.0,76.0,1.0,37.56193,126.921799,2016-05-29 11:13:05.081583
817261,4236166,Shared room,,Itaewon-dong,27,5.0,3,1.0,29.0,1.0,37.535936,126.990399,2016-05-29 11:13:02.087177
5501063,23588187,Private room,,Yeonnam-dong,7,5.0,2,1.0,50.0,1.0,37.561626,126.922045,2016-05-29 11:12:37.098740
12962848,23690329,Entire home/apt,,Donggyo-dong,0,,4,0.0,72.0,1.0,37.556867,126.925266,2016-05-29 11:12:33.627930
8003647,26823761,Shared room,,Changsin-dong,2,,4,1.0,16.0,1.0,37.570554,127.018148,2016-05-29 11:12:12.588662
7524222,19067085,Entire home/apt,,Bongnae-dong 2(i)-ga,12,4.5,5,2.0,69.0,2.0,37.554949,126.969615,2016-05-29 11:12:10.370650
12813738,63488967,Shared room,,Daehyeon-dong,0,,4,1.0,19.0,2.0,37.558067,126.946104,2016-05-29 11:12:07.155955
3648211,17747790,Entire home/apt,,Migeun-dong,0,,2,1.0,90.0,1.0,37.56434,126.96722,2016-05-29 11:11:05.548194
2250900,11496585,Private room,,Yeonnam-dong,1,,2,1.0,56.0,1.0,37.560098,126.920379,2016-05-29 11:10:39.153012
13074200,2304707,Entire home/apt,,Seogye-dong,0,,15,3.0,199.0,1.0,37.554405,126.96661,2016-05-29 11:10:23.088898
3970850,17099147,Entire home/apt,,Bongnae-dong 2(i)-ga,41,4.0,4,0.0,43.0,1.0,37.555074,126.971884,2016-05-29 11:10:13.878131
6454586,33172468,Private room,,Sincheon-dong,7,5.0,4,1.0,36.0,1.0,37.511699,127.104638,2016-05-29 11:10:05.890964
7010615,36750810,Shared room,,Daehyeon-dong,4,4.5,1,1.0,18.0,1.0,37.557276,126.945941,2016-05-29 11:09:58.305187
6857653,35936929,Entire home/apt,,Malli-dong 1(il)-ga,1,,4,1.0,103.0,2.0,37.554942,126.967724,2016-05-29 11:09:35.123623
11578474,24643012,Entire home/apt,,Sillim-dong,2,,1,1.0,27.0,2.0,37.477017,126.938364,2016-05-29 11:09:18.964354
10094915,13797249,Entire home/apt,,Donggyo-dong,21,5.0,6,3.0,144.0,3.0,37.557663,126.928229,2016-05-29 11:09:07.210593
5007555,25616525,Private room,,Namdaemunno 5(o)-ga,1,,1,1.0,47.0,1.0,37.555439,126.975562,2016-05-29 11:09:03.304115
5798316,30027647,Shared room,,Seogyo-dong,16,4.5,1,1.0,11.0,1.0,37.549219,126.920842,2016-05-29 11:08:53.504072
7356823,38544373,Private room,,Deungchon-dong,0,,2,1.0,23.0,1.0,37.564876,126.842239,2016-05-29 11:08:50.225152
4917937,25329542,Private room,,Bon-dong,18,5.0,2,1.0,30.0,3.0,37.508223,126.950934,2016-05-29 11:08:44.908839
7249992,37962661,Private room,,Yeoksam-dong,3,5.0,1,1.0,53.0,1.0,37.502728,127.040584,2016-05-29 11:08:08.276716
4761018,24221128,Shared room,,Cheongdam-dong,21,5.0,1,1.0,33.0,1.0,37.521498,127.058585,2016-05-29 11:08:00.697344
13083112,7617310,Shared room,,Donggyo-dong,0,,4,1.0,15.0,2.0,37.556075,126.929417,2016-05-29 11:07:36.409548
9565056,49520508,Shared room,,Sinsa-dong,15,4.5,1,1.0,18.0,,37.520333,127.026083,2016-05-29 11:07:33.223980
12609981,62357050,Entire home/apt,,Samseong-dong,0,,2,0.0,65.0,3.0,37.50877,127.056816,2016-05-29 11:07:23.548277
5366102,22261535,Shared room,,Donggyo-dong,1,,8,1.0,13.0,1.0,37.559655,126.923619,2016-05-29 11:07:20.151297
9393774,44040225,Entire home/apt,,Chang-dong,6,5.0,4,1.0,52.0,1.0,37.652834,127.046689,2016-05-29 11:07:16.851837
12104854,64906454,Entire home/apt,,Insa-dong,4,5.0,4,0.0,77.0,1.0,37.570856,126.986477,2016-05-29 11:07:06.801413
8165769,43045387,Entire home/apt,,Banghwa-dong,19,5.0,2,1.0,38.0,2.0,37.567802,126.817337,2016-05-29 11:07:04.535113
9979375,38409743,Shared room,,Sinsa-dong,2,,1,1.0,28.0,1.0,37.521806,127.024223,2016-05-29 11:06:53.940530
5889533,22261535,Shared room,,Yeonnam-dong,0,,1,1.0,10.0,1.0,37.560474,126.923738,2016-05-29 11:06:28.743676
12279184,35608851,Entire home/apt,,Nonhyeon-dong,4,5.0,3,2.0,69.0,3.0,37.513035,127.027691,2016-05-29 11:06:05.481537
12855580,66989533,Entire home/apt,,Seocho-dong,1,,2,1.0,69.0,1.0,37.502378,127.023117,2016-05-29 11:05:45.590677
7765370,7633775,Entire home/apt,,Yeoksam-dong,4,5.0,3,1.0,100.0,2.0,37.508856,127.042962,2016-05-29 11:05:39.331912
3732286,9116568,Shared room,,Seogyo-dong,2,,4,1.0,22.0,1.0,37.554101,126.927187,2016-05-29 11:05:36.705871
3062443,5778993,Entire home/apt,,Banpo-dong,3,4.5,2,1.0,94.0,5.0,37.504469,127.021286,2016-05-29 11:05:19.312371
1129079,5929676,Shared room,,Hapjeong-dong,37,4.5,4,1.0,13.0,1.0,37.549472,126.911933,2016-05-29 11:05:10.277863
10297392,24221128,Shared room,,Samseong-dong,0,,2,1.0,60.0,1.0,37.518831,127.063389,2016-05-29 11:05:07.136542
9303687,24686239,Shared room,,Seogyo-dong,3,5.0,1,1.0,11.0,1.0,37.557059,126.912161,2016-05-29 11:05:03.941029
12277007,44212936,Entire home/apt,,Yeonhui-dong,2,,2,0.0,43.0,2.0,37.563916,126.9276,2016-05-29 11:05:01.377039
6239597,25931841,Entire home/apt,,Seocho-dong,16,5.0,3,1.0,63.0,5.0,37.495378,127.02776,2016-05-29 10:05:18.643239
6516510,27319169,Private room,,Changjeon-dong,39,5.0,3,1.0,38.0,3.0,37.546482,126.93103,2016-05-29 10:05:10.204360
12071949,5947704,Shared room,,Itaewon-dong,0,,6,1.0,14.0,2.0,37.536019,126.989976,2016-05-29 10:04:54.821617
8620318,38816130,Entire home/apt,,Yeoksam-dong,4,4.5,4,1.0,53.0,1.0,37.498921,127.028552,2016-05-29 10:04:50.911762
2748189,14059196,Private room,,Jangchung-dong 2(i)-ga,16,4.5,2,1.0,36.0,2.0,37.5529,126.997324,2016-05-29 10:04:18.809881
10460290,49195043,Private room,,Muk-dong,0,,1,1.0,104.0,1.0,37.612698,127.074001,2016-05-29 10:04:13.027587
10297174,24221128,Shared room,,Samseong-dong,0,,1,1.0,33.0,1.0,37.518859,127.063917,2016-05-29 10:03:52.541060
1434776,7711130,Entire home/apt,,Chungmuro 2(i)-ga,41,5.0,4,0.0,50.0,1.0,37.561281,126.9904,2016-05-29 10:03:37.859535
9815219,49713544,Shared room,,Seogyo-dong,4,5.0,4,1.0,20.0,1.0,37.55576,126.927645,2016-05-29 10:03:29.616980
8776165,8669093,Entire home/apt,,Banpo-dong,9,5.0,4,2.0,89.0,3.0,37.504774,127.022085,2016-05-29 10:03:06.630617
8818106,36101719,Shared room,,Seobinggo-dong,0,,4,1.0,61.0,1.0,37.521373,126.990606,2016-05-29 10:02:51.635628
820163,4212709,Private room,,Namsan-dong 2(i)-ga,35,4.5,3,1.0,50.0,1.0,37.559527,126.985497,2016-05-29 10:02:49.484918
6135266,12434376,Entire home/apt,,Sinchon-dong,28,4.5,8,2.0,110.0,1.0,37.568151,126.942661,2016-05-29 10:02:35.904719
10010172,8793000,Private room,,Cho-dong,4,4.0,1,1.0,22.0,5.0,37.563958,126.993273,2016-05-29 10:02:31.830272
11214404,49305191,Private room,,Gwanghui-dong 2(i)-ga,3,5.0,3,1.0,46.0,1.0,37.56396,127.008609,2016-05-29 10:01:48.620801
9304059,7711130,Entire home/apt,,Myeong-dong 2(i)-ga,7,5.0,5,0.0,73.0,1.0,37.56334,126.987183,2016-05-29 10:01:41.835284
8894058,23895215,Private room,,Changcheon-dong,11,4.5,2,1.0,26.0,1.0,37.556292,126.936933,2016-05-29 10:01:37.724061
